PMID	geneid	diseaseid	word	importance_score	org_prob_score	perturbed_prob_score	original_prediction
1834320	3073	D013661	bio	-0.0	0.03273696452379227	0.2048623412847519	0
1834320	3073	D013661	genetics	-0.0	0.03273696452379227	0.23547455668449402	0
1834320	3073	D013661	disease	-0.0	0.03273696452379227	0.06805301457643509	0
1834320	3073	D013661	one	0.0	0.03273696452379227	0.013014253228902817	0
1834320	3073	D013661	diseases	-0.0	0.03273696452379227	0.06464273482561111	0
1834320	3073	D013661	known	0.0	0.03273696452379227	0.005698675289750099	0
1834320	3073	D013661	causes	-0.0	0.03273696452379227	0.04875049740076065	0
1834320	3073	D013661	results	0.0	0.03273696452379227	0.009403523989021778	0
1834320	3073	D013661	mutations	0.0	0.03273696452379227	0.15017277002334595	0
1834320	3073	D013661	genes	0.0	0.03273696452379227	0.01278198417276144	0
1834320	3073	D013661	gene	0.0	0.03273696452379227	0.06557431071996689	0
1834320	3073	D013661	encoding	-0.0	0.03273696452379227	0.08684379607439041	0
1834320	3073	D013661	alpha	-0.0	0.03273696452379227	0.12699741125106812	0
1834320	3073	D013661	subunit	-0.0	0.03273696452379227	0.14118526875972748	0
1834320	3073	D013661	beta	-0.0	0.03273696452379227	0.14957883954048157	0
1834320	3073	D013661	producing	-0.0	0.03273696452379227	0.038511209189891815	0
1834320	3073	D013661	destructive	-0.0	0.03273696452379227	0.03689515218138695	0
1834320	3073	D013661	gang	0.0	0.03273696452379227	0.0056343404576182365	0
1834320	3073	D013661	accumulation	-0.0	0.03273696452379227	0.03957848250865936	0
1834320	3073	D013661	principally	-0.0	0.03273696452379227	0.13515770435333252	0
1834320	3073	D013661	neurons	0.0	0.03273696452379227	0.02446577697992325	0
1834320	3073	D013661	determination	-0.0	0.03273696452379227	0.22379465401172638	0
1834320	3073	D013661	protein	0.0	0.03273696452379227	0.010987848974764347	0
1834320	3073	D013661	sequence	-0.0	0.03273696452379227	0.06760501861572266	0
1834320	3073	D013661	sequences	0.0	0.03273696452379227	0.030730953440070152	0
1834320	3073	D013661	complex	-0.0	0.03273696452379227	0.14692948758602142	0
1834320	3073	D013661	pathway	-0.0	0.03273696452379227	0.14118526875972748	0
1834320	3073	D013661	sub	-0.0	0.03273696452379227	0.1495041847229004	0
1834320	3073	D013661	processing	-0.0	0.03273696452379227	0.06301327794790268	0
1834320	3073	D013661	enzyme	-0.0	0.03273696452379227	0.07014354318380356	0
1834320	3073	D013661	determined	-0.0	0.03273696452379227	0.05550609156489372	0
1834320	3073	D013661	recently	-0.0	0.03273696452379227	0.06994902342557907	0
1834320	3073	D013661	detailed	-0.0	0.03273696452379227	0.22072254121303558	0
1834320	3073	D013661	knowledge	-0.0	0.03273696452379227	0.08953040838241577	0
1834320	3073	D013661	structure	-0.0	0.03273696452379227	0.28358057141304016	0
1834320	3073	D013661	allowed	-0.0	0.03273696452379227	0.10843494534492493	0
1834320	3073	D013661	specific	0.0	0.03273696452379227	0.026338612660765648	0
1834320	3073	D013661	causing	-0.0	0.03273696452379227	0.037142105400562286	0
1834320	3073	D013661	high	0.0	0.03273696452379227	0.05613795295357704	0
1834320	3073	D013661	incidence	0.0	0.03273696452379227	0.027254901826381683	0
1834320	3073	D013661	ash	0.0	0.03273696452379227	0.002381996950134635	0
