PMID	geneid	diseaseid	words	imp_score	org_prob	preturbed_prob
29750581	1080	D003550	genes	0.00718777372563058	0.9973210448457451	0.9999997293536964
29750581	1080	D003550	disease	0.010147416985025024	0.9973210448457451	0.9965593629974212
29750581	1080	D003550	chronic	0.0005462737996679836	0.9973210448457451	0.9999830286305195
29750581	1080	D003550	pulmonary	0.0001976570261812248	0.9973210448457451	0.9999843141680782
29750581	1080	D003550	introduction	-0.0013329670052252185	0.9973210448457451	0.9999870479167828
29750581	1080	D003550	lung	-0.0013300144180027026	0.9973210448457451	0.9999854853674858
29750581	1080	D003550	diseases	0.004270277779189464	0.9973210448457451	0.9999834158753901
29750581	1080	D003550	cop	0.000935019442979007	0.9973210448457451	0.9969766853229589
29750581	1080	D003550	causes	0.001768765103319845	0.9973210448457451	0.996362154174871
29750581	1080	D003550	high	3.876563010846013e-05	0.9973210448457451	0.9972430959422949
29750581	1080	D003550	mortality	0.000323426748817557	0.9973210448457451	0.9966707068957035
29750581	1080	D003550	worldwide	0.001159199741637356	0.9973210448457451	0.9949901566727001
29750581	1080	D003550	multi	-0.0013328803256030782	0.9973210448457451	0.9999868754724861
29750581	1080	D003550	genetic	0.0002938625489007786	0.9973210448457451	0.9967301538067546
29750581	1080	D003550	caused	0.01016747926095795	0.9973210448457451	0.9830950527740413
29750581	1080	D003550	mutations	0.008982050831281356	0.9973210448457451	0.9999898606248837
29750581	1080	D003550	gene	0.000643277507209869	0.9973210448457451	0.9960275594526036
29750581	1080	D003550	characterized	0.0019935717340998408	0.9973210448457451	0.9933124235441507
29750581	1080	D003550	progressive	3.995062559263577e-05	0.9973210448457451	0.9972407131847252
29750581	1080	D003550	cases	0.003330726866559798	0.9973210448457451	0.996651311099088
29750581	1080	D003550	result	0.008720259385862332	0.9973210448457451	0.9967740622850723
29750581	1080	D003550	particles	0.000661156727500774	0.9973210448457451	0.9959916083894499
29750581	1080	D003550	mainly	-0.0013331670526178618	0.9973210448457451	0.9999874458995144
29750581	1080	D003550	cigarette	-6.60506159457441e-05	0.9973210448457451	0.9974538222272717
29750581	1080	D003550	smoke	-0.0013325387996689089	0.9973210448457451	0.9999861960244464
29750581	1080	D003550	also	-4.6976033834390454e-05	0.9973210448457451	0.9999812475512757
29750581	1080	D003550	environmental	0.0020912173624281077	0.9973210448457451	0.9951615923926981
29750581	1080	D003550	poll	-0.0013359953293483454	0.9973210448457451	0.9999930725252504
29750581	1080	D003550	areas	-0.0013371629360640549	0.9973210448457451	0.9999953953467865
29750581	1080	D003550	covered	-0.0013358291251696739	0.9973210448457451	0.9999927418790847
29750581	1080	D003550	although	0.001198369582900737	0.9973210448457451	0.9949113949921532
29750581	1080	D003550	path	0.00032577515108761414	0.9973210448457451	0.9999855784928797
29750581	1080	D003550	differ	0.0003199944911571735	0.9973210448457451	0.9966776083886042
29750581	1080	D003550	share	0.00018196997290027576	0.9973210448457451	0.9969551444383801
29750581	1080	D003550	key	0.00049031110274907	0.9973210448457451	0.9963351402518602
