PMID	geneid	diseaseid	words	imp_score	org_prob	preturbed_prob
29750581	1080	D003550	genes	0.0014118012217494424	0.9999492168426514	0.9997784495353699
29750581	1080	D003550	disease	0.00030177746528181615	0.9999492168426514	0.9999586343765259
29750581	1080	D003550	chronic	1.6747204057310228e-05	0.9999492168426514	0.999937891960144
29750581	1080	D003550	pulmonary	-5.065982904284283e-06	0.9999492168426514	0.9999606609344482
29750581	1080	D003550	introduction	-9.714947893257886e-06	0.9999492168426514	0.9999686479568481
29750581	1080	D003550	lung	-5.3043871588442926e-06	0.9999492168426514	0.9999638795852661
29750581	1080	D003550	diseases	1.6687605466358946e-06	0.9999492168426514	0.9999526739120483
29750581	1080	D003550	cop	6.138654867982041e-06	0.9999492168426514	0.9999604225158691
29750581	1080	D003550	causes	9.058985824594856e-06	0.9999492168426514	0.9999310970306396
29750581	1080	D003550	high	2.264746456148714e-06	0.9999492168426514	0.9999446868896484
29750581	1080	D003550	mortality	3.516316866125635e-06	0.9999492168426514	0.9999421834945679
29750581	1080	D003550	worldwide	3.0395281385153794e-06	0.9999492168426514	0.9999431371688843
29750581	1080	D003550	multi	-3.5759666161538917e-06	0.9999492168426514	0.9999563694000244
29750581	1080	D003550	genetic	-5.483190648192249e-06	0.9999492168426514	0.99996018409729
29750581	1080	D003550	caused	-5.781197032206364e-06	0.9999492168426514	0.9999607801437378
29750581	1080	D003550	mutations	3.128926024942302e-05	0.9999492168426514	0.9999290704727173
29750581	1080	D003550	gene	1.191971819025639e-06	0.9999492168426514	0.9999468326568604
29750581	1080	D003550	characterized	1.466125337401536e-05	0.9999492168426514	0.9999198913574219
29750581	1080	D003550	progressive	-5.185184974720869e-06	0.9999492168426514	0.9999595880508423
29750581	1080	D003550	cases	-1.8475699761211217e-06	0.9999492168426514	0.9999529123306274
29750581	1080	D003550	result	1.1085337916938443e-05	0.9999492168426514	0.9999270439147949
29750581	1080	D003550	particles	1.9369542059166633e-05	0.9999492168426514	0.9999104738235474
29750581	1080	D003550	mainly	1.7879577285384585e-07	0.9999492168426514	0.9999488592147827
29750581	1080	D003550	cigarette	-2.979933100277776e-07	0.9999492168426514	0.9999498128890991
29750581	1080	D003550	smoke	-9.834154397481143e-06	0.9999492168426514	0.9999688863754272
29750581	1080	D003550	also	4.648690094199992e-06	0.9999492168426514	0.9999552965164185
29750581	1080	D003550	environmental	3.218323911369225e-05	0.9999492168426514	0.9999361038208008
29750581	1080	D003550	poll	8.820591460789728e-06	0.9999492168426514	0.9999315738677979
29750581	1080	D003550	areas	3.695112638979481e-06	0.9999492168426514	0.9999418258666992
29750581	1080	D003550	covered	4.529492912297428e-06	0.9999492168426514	0.9999401569366455
29750581	1080	D003550	although	-3.0395651009484936e-06	0.9999492168426514	0.9999552965164185
29750581	1080	D003550	path	2.1157499787705092e-05	0.9999492168426514	0.9999688863754272
29750581	1080	D003550	differ	6.615443595592296e-06	0.9999492168426514	0.9999359846115112
29750581	1080	D003550	share	-3.5163663341108986e-06	0.9999492168426514	0.9999562501907349
29750581	1080	D003550	key	-7.986466357579047e-06	0.9999492168426514	0.9999651908874512
29750581	1080	D003550	features	-2.3839663754188223e-06	0.9999492168426514	0.9999539852142334
29750581	1080	D003550	similarities	-8.52288910380139e-06	0.9999492168426514	0.9999662637710571
29750581	1080	D003550	great	-4.052769895679376e-06	0.9999492168426514	0.9999573230743408
